iter	Logloss
0	0.667295755
1	0.6496622513
2	0.634054479
3	0.6221176868
4	0.6102852599
5	0.602947447
6	0.5933124911
7	0.5869779415
8	0.5823783066
9	0.5771093451
10	0.5722387904
11	0.5686639661
12	0.5653366405
13	0.5589535204
14	0.5558547226
15	0.5538391928
16	0.5515556453
17	0.54864008
18	0.5479035617
19	0.5436244376
20	0.5407342251
21	0.5366334349
22	0.5348366577
23	0.5322703743
24	0.5299066267
25	0.5273574957
26	0.5250398561
27	0.5234895089
28	0.5212537091
29	0.5183866368
30	0.5167690248
31	0.5141238591
32	0.5117531286
33	0.5108103262
34	0.5087965019
35	0.5063985145
36	0.5046010166
37	0.5031003519
38	0.5009074629
39	0.5001803653
40	0.4990172654
41	0.4983723646
42	0.4972355557
43	0.4955094873
44	0.4934995617
45	0.491406639
46	0.4900562972
47	0.488742151
48	0.4881464162
49	0.4872574874
50	0.4855015104
51	0.483410268
52	0.4818842363
53	0.4798946662
54	0.4790313632
55	0.4771489527
56	0.4752864696
57	0.4737757081
58	0.4729548786
59	0.472236994
60	0.4713866873
61	0.4708392731
62	0.4694589636
63	0.4687476777
64	0.4683011889
65	0.4682822289
66	0.4682809724
67	0.4674165347
68	0.4672797122
69	0.4667874023
70	0.4649091531
71	0.4641169776
72	0.4631562108
73	0.4626915952
74	0.46211764
75	0.4613682261
76	0.4611990007
77	0.4604823469
78	0.4584485578
79	0.4568131588
80	0.4556872299
81	0.4547813344
82	0.452642445
83	0.4516541944
84	0.4505682666
85	0.4505682588
86	0.4493938478
87	0.4488197655
88	0.4465793311
89	0.4463889951
90	0.4446923249
91	0.444043033
92	0.4431766425
93	0.4417698206
94	0.4406111482
95	0.4398841489
96	0.4384448291
97	0.4371676391
98	0.4358440249
99	0.43491649
100	0.4341209313
101	0.4335091624
102	0.4308253866
103	0.42987714
104	0.428320651
105	0.4277191732
106	0.4268368498
107	0.4253548335
108	0.4235147612
109	0.4215597471
110	0.4204796695
111	0.419612092
112	0.4186423415
113	0.4177736421
114	0.4162111691
115	0.414190706
116	0.4130189797
117	0.4126242214
118	0.4110918689
119	0.4100702951
120	0.4092020739
121	0.4073975462
122	0.4053641377
123	0.4045274742
124	0.4035368101
125	0.4027945433
126	0.4016860764
127	0.3994949871
128	0.3988216754
129	0.3978667705
130	0.3961300318
131	0.3959226309
132	0.3947069056
133	0.3933577073
134	0.3924791994
135	0.3921128723
136	0.3910985507
137	0.3905487835
138	0.3899811034
139	0.3893033248
140	0.3885511463
141	0.3882540098
142	0.3869493936
143	0.3857098202
144	0.3852684804
145	0.3846799529
146	0.3833837188
147	0.3828512947
148	0.3824536721
149	0.3822820716
150	0.3813487734
151	0.3808028412
152	0.3803035574
153	0.3788838437
154	0.3783720287
155	0.3773364747
156	0.3760271331
157	0.3753348847
158	0.3744668955
159	0.3735653568
160	0.3731318174
161	0.3721820149
162	0.3715971399
163	0.3705003564
164	0.3702392973
165	0.3697891295
166	0.3687316458
167	0.3683214496
168	0.3678704783
169	0.3657590023
170	0.3651814997
171	0.3648706575
172	0.3644481456
173	0.3639990994
174	0.3635412631
175	0.3635306179
176	0.3629701508
177	0.3622379218
178	0.3609816122
179	0.360752845
180	0.3601543554
181	0.3592568718
182	0.358423504
183	0.3579927944
184	0.3578027756
185	0.3572793258
186	0.3562563673
187	0.3556955874
188	0.3553356842
189	0.35460564
190	0.3542130218
191	0.3535600056
192	0.3527501753
193	0.3522424979
194	0.3513521288
195	0.3509792876
196	0.3503276741
197	0.3501022175
198	0.3492243752
199	0.348547889
200	0.34798383
201	0.347619038
202	0.3470740521
203	0.3460024634
204	0.3455431411
205	0.3447156261
